Gene	psill	range	Protein.Class.simple	DSI	DPI	X..Of.Diseases	X..Of.SNPs	ADgenes
CSF1R	2.34	56	null	0.484	0.6789	168	44	1
DSP	0.3	18.2	cytoskeletal protein	0.517	0.4639	120	72	0
VWF	1.85	37.6	cell adhesion molecule	0.443	0.821	251	96	0
NIPBL	0.21	5.4	nucleic acid binding	0.484	0.679	167	233	0
CDKL5	0.34	4.5	transferase	0.52	0.5001	117	123	0
NPC1	2.24	41.8	receptor	0.503	0.7139	139	130	0
CACNA1S	0.85	25.6	transporter	0.596	0.6069	55	13	0
USH2A	0.79	33.4	extracellular matrix protein	0.578	0.4289	66	158	0
ACAD9	0.32	15.8	transferase	0.642	0.321	35	11	0
SDHB	0.26	22.8	oxidoreductase	0.472	0.7501	189	35	0
TECTA	1.82	43.3	cell adhesion molecule	0.709	0.1431	18	25	0
PALLD	0.04	4.4	cell adhesion molecule	0.648	0.5	33	2	0
NEBL	0.03	1.7	null	0.86	0.0711	4	3	0
CYBB	0.01	0	oxidoreductase	0.478	0.786	177	65	0
IDS	1.62	22.7	hydrolase	0.543	0.6429	93	65	0
ARHGAP31	0.06	5.5	null	0.86	0.1071	4	1	0
PRKN	0.51	21.6	ligase	0.461	0.7499	210	44	0
MYO1A	0	4.5	cell junction protein	0.709	0.286	18	0	0
FLNB	2.01	36.7	cytoskeletal protein	0.438	0.893	265	37	0
SERPINA1	0.52	33.7	enzyme modulator	0.431	0.857	283	26	0
AGRN	0.59	17.3	extracellular matrix protein	0.779	0.1431	9	8	0
TBC1D24	0.91	16.5	enzyme modulator	0.676	0.25	25	20	0
ABCC6	0	2.6	transporter	0.536	0.6071	100	92	0
FLNC	0.56	16.1	cytoskeletal protein	0.581	0.5	64	3	0
FYCO1	0.1	1.4	chaperone	0.819	0.071	6	4	0
A2ML1	0.02	1.2	defense/immunity protein	0.68	0.536	24	0	0
CHRNA1	0.6	23.6	transporter	0.53	0.6431	106	12	0
TP53	1.15	46.6	transcription factor	0.252	0.9641	1677	211	0
BCS1L	0.29	15	null	0.501	0.6431	141	31	0
ATP7B	0.69	27.1	transporter	0.498	0.714	145	184	0
SCN1B	5.16	141.1	transporter	0.606	0.3211	50	8	0
CUBN	0.69	28.1	cell adhesion molecule	0.604	0.607	51	37	0
TSHR	1.5	35	extracellular matrix protein	0.468	0.821	196	50	0
SDHA	1.13	36.8	oxidoreductase	0.512	0.607	127	17	0
INPP5E	1.26	26.6	phosphatase	0.703	0.464	19	21	0
SETX	0.89	28.4	hydrolase	0.56	0.714	79	26	0
FLNA	0.17	1.8	cytoskeletal protein	0.38	0.8569	469	72	0
PIK3CA	0.01	3.7	transferase	0.329	0.8931	779	39	0
SRCAP	0.01	0.8	nucleic acid binding	0.566	0.4999	74	6	0
MAPT	1.93	30.2	null	0.445	0.75	247	50	1
KRT5	1.05	28.5	cytoskeletal protein	0.501	0.6791	141	51	0
RET	0.13	0.8	null	0.389	0.7861	431	105	0
SLC22A5	0.31	13.1	transfer/carrier protein	0.568	0.786	73	76	0
IFT140	0.27	5.9	cytoskeletal protein	0.55	0.536	87	13	0
CASK	0.14	5.1	cell junction protein	0.532	0.4639	104	27	0
PRKDC	0.65	20.3	transferase	0.536	0.75	100	9	0
KIT	0.37	11.1	null	0.386	0.7499	442	34	0
RAF1	0.57	16.9	transferase	0.422	0.8209	308	28	0
DYNC1H1	0.18	6.8	cytoskeletal protein	0.553	0.4999	84	19	0
SLC19A3	0.04	0.3	transporter	0.703	0.357	19	8	0
PKP2	0.79	30.4	cytoskeletal protein	0.664	0.179	28	57	0
TGM1	0.01	8.4	transferase	0.56	0.6789	79	41	0
CAPN3	1.44	22	calcium-binding protein	0.591	0.5001	58	104	0
GRIN1	0	0.3	null	0.598	0.464	54	4	0
PSEN1	0.26	12.9	signaling molecule	0.446	0.821	243	109	1
SETBP1	0.85	31.3	transferase	0.496	0.6789	148	6	0
INSR	3.26	52.5	null	0.43	0.7141	287	59	0
LMNA	0.09	8.2	cytoskeletal protein	0.343	0.7501	679	203	0
PTPN11	0.23	8	phosphatase	0.398	0.821	392	80	0
ATP7A	0.21	4.3	transporter	0.46	0.714	212	88	0
COL9A3	0.04	0.3	null	0.562	0.5359	77	1	0
ACADM	0.07	8.4	transferase	0.614	0.321	46	78	0
INF2	0.08	0.2	cytoskeletal protein	0.721	0.2499	16	11	0
DCX	0.01	0.1	null	0.548	0.464	89	21	0
SCN1A	1.59	32.9	transporter	0.495	0.5	150	416	0
CREBBP	0.88	21.4	transcription factor	0.409	0.8929	353	80	0
DMD	0.66	21.4	cytoskeletal protein	0.445	0.7499	246	400	0
CCDC114	0.06	0.6	null	0.838	0.1429	5	1	0
SPTAN1	0.01	10.4	cytoskeletal protein	0.598	0.607	54	1	0
SDHD	0.22	20.3	null	0.457	0.7859	219	24	0
HBB	0.16	0.1	transfer/carrier protein	0.466	0.8209	199	105	0
RBM20	2.59	105.4	null	0.75	0.143	12	9	0
TJP2	0.33	18.1	cell junction protein	0.684	0.357	23	1	0
GATA4	3.1	57	transcription factor	0.451	0.75	231	30	0
SGCA	0.06	0.5	calcium-binding protein	0.623	0.3569	42	35	0
NSD1	12.99	290.5	transferase	0.612	0.5361	47	185	0
BTD	0.06	11.8	hydrolase	0.591	0.5711	58	160	0
FREM1	1.05	28.1	transporter	0.703	0.3929	19	7	0
LHCGR	1.85	38.9	extracellular matrix protein	0.546	0.571	90	35	0
PRPH2	1.82	52.3	cell adhesion molecule	0.528	0.5361	108	40	0
CHAT	0.48	8	transferase	0.55	0.714	87	26	0
RAG1	1.72	30.2	nucleic acid binding	0.485	0.7501	165	36	0
KLHL3	0	0	null	0.768	0.179	10	31	0
KCNQ2	1.91	40.5	null	0.561	0.2859	78	100	0
COL11A1	0.99	30.5	null	0.451	0.607	232	18	0
KCNQ3	1.26	35.2	null	0.614	0.321	46	9	0
ARSB	1.48	30.9	hydrolase	0.565	0.6071	75	19	0
JAG1	0.66	25.1	null	0.434	0.75	274	33	0
TRPS1	1.35	23.9	transcription factor	0.491	0.5	156	12	0
TRIOBP	0.03	0.3	cytoskeletal protein	0.758	0.2501	11	7	0
SLC26A4	0.59	20.6	null	0.512	0.75	127	127	0
NPHP4	1.08	23	null	0.714	0.357	17	21	0
ADAMTS13	3.14	54.4	protease	0.503	0.786	138	60	0
MYLK	0.05	0.6	cell adhesion molecule	0.558	0.6069	80	11	0
OTOGL	0.02	0.9	cell adhesion molecule	0.889	0.1069	3	4	0
CACNA1C	0.12	2.4	transporter	0.564	0.5001	76	30	0
MET	1.03	23.6	null	0.416	0.786	327	29	0
DHCR7	0.36	10.6	oxidoreductase	0.469	0.7499	195	61	0
CACNA1A	0.24	5	transporter	0.502	0.6789	140	56	0
ARID1B	0.63	52.6	null	0.684	0.5	23	15	0
GBE1	2.13	38.2	hydrolase	0.57	0.643	71	16	0
SACS	0.42	18.8	null	0.578	0.429	66	106	0
ETFDH	0.6	31.6	oxidoreductase	0.578	0.393	66	11	0
RHBDF2	1.23	33.9	protease	0.688	0.3571	22	4	0
LYST	0.94	22.9	null	0.539	0.679	97	41	0
KRAS	0.46	15.2	enzyme modulator	0.329	0.857	781	34	0
TGM6	0.01	11.3	transferase	0.75	0.25	12	5	0
DDX3X	0	0.3	nucleic acid binding	0.589	0.5359	59	16	0
RAG2	0.04	0.3	nucleic acid binding	0.488	0.786	160	9	0
KCNQ1	0.26	12.6	null	0.49	0.7499	158	234	0
NLRP3	0.25	5.4	transcription factor	0.435	0.8929	271	44	0
COL11A2	1.54	35.8	null	0.448	0.7141	240	13	0
ABCC2	0.25	4	transporter	0.495	0.714	150	24	0
TUBA1A	0	2.3	cytoskeletal protein	0.619	0.357	44	28	0
WDR62	3.63	84.4	enzyme modulator	0.698	0.286	20	21	0
HLCS	1.31	34.9	null	0.614	0.4289	46	17	0
KRT2	0.11	0.1	cytoskeletal protein	0.779	0.1069	9	17	0
WWOX	1.98	30.9	oxidoreductase	0.47	0.7141	192	20	0
PRX	0.02	0.4	null	0.721	0.1791	16	11	0
PKD1	0.35	26.5	signaling molecule	0.517	0.6789	121	63	0
MFN2	0.98	27.4	phosphatase	0.498	0.643	145	31	0
ARSA	0.36	16.2	hydrolase	0.513	0.8209	125	129	0
KCNH2	0.73	28.4	transporter	0.515	0.679	123	237	0
CCDC40	0.02	0.2	null	0.768	0.2139	10	7	0
MYO15A	1.38	31	cell junction protein	0.721	0.179	16	41	0
IQSEC2	0.28	3.8	enzyme modulator	0.648	0.393	33	7	0
